Date,Open,High,Low,Close,Volume
2017-01-31,2274.02,2279.09,2267.21,2278.87,2555320200.0
2017-01-30,2286.01,2286.01,2268.04,2280.9,2108083800.0
2017-01-27,2299.02,2299.02,2291.62,2294.69,1999261200.0
2017-01-26,2298.63,2300.99,2294.08,2296.68,2333681800.0
2017-01-25,2288.88,2299.55,2288.88,2298.37,2461512000.0
2017-01-24,2267.88,2284.63,2266.68,2280.07,2229227200.0
2017-01-23,2267.78,2271.78,2257.02,2265.2,1990552400.0
2017-01-20,2269.96,2276.96,2265.01,2271.31,2311814000.0
2017-01-19,2271.9,2274.33,2258.41,2263.69,2041282800.0
2017-01-18,2269.14,2272.01,2263.35,2271.89,1998644000.0
2017-01-17,2269.14,2272.08,2262.81,2267.89,2212200200.0
2017-01-13,2272.74,2278.68,2271.51,2274.64,1780998000.0
2017-01-12,2271.14,2271.78,2254.25,2270.44,1937385200.0
2017-01-11,2268.6,2275.32,2260.83,2275.32,2118289800.0
2017-01-10,2269.72,2279.27,2265.27,2268.9,2138024400.0
2017-01-09,2273.59,2275.49,2268.9,2268.9,1914652400.0
2017-01-06,2271.14,2282.1,2264.06,2276.98,1957181200.0
2017-01-05,2268.18,2271.5,2260.45,2269.0,2187190000.0
2017-01-04,2261.6,2272.82,2261.6,2270.75,2097360200.0
2017-01-03,2251.57,2263.88,2245.13,2257.83,2318947600.0
